582,634,606,791,849,888,898,899,924
87,104,109,129,140,150,159,166,183
35,39,35,45,54,60,60,62,62
1473,1574,1637,1892,2093,2142,2168,2225,2256
532,573,611,719,780,815,850,866,894
64,69,64,96,94,103,100,98,101
86,89,102,122,125,137,137,143,144
150,141,171,199,195,207,210,216,213
322,346,367,417,442,443,455,475,476
323,366,390,466,479,499,539,528,551
22,22,21,27,29,28,29,31,27
241,243,261,321,339,371,409,421,439
1299,1480,1382,1747,1821,1939,1998,1973,2011
809,879,954,1140,1191,1266,1294,1299,1325
162,182,192,223,257,250,273,268,265
9,9,8,14,16,16,18,20,19
464,509,526,661,678,769,816,805,827
75,74,75,87,92,93,107,104,104
39,44,39,49,49,56,57,57,60
54,52,70,80,79,92,90,99,97
1014,1075,1178,1427,1530,1670,1718,1764,1837
40,40,41,52,62,63,65,64,67
5786,6037,6779,7862,8234,8744,9002,9254,9546
57,59,65,71,84,84,86,92,89
38,43,46,58,58,64,64,60,61
17,20,21,22,23,24,25,24,26
155,155,173,210,214,215,217,223,227
32,36,43,51,58,60,61,76,75
97,94,101,124,121,135,125,128,134
83,83,89,105,109,118,124,121,132
420,433,461,528,573,639,686,710,748
206,211,224,272,306,350,356,349,372
34,41,31,46,50,54,61,55,59
19,20,21,24,24,24,23,26,27
41,49,42,60,61,68,67,70,75
712,739,792,993,1117,1288,1286,1393,1480
149,152,144,183,206,216,225,239,245
70,82,89,95,105,108,111,121,116
212,217,230,279,302,323,330,344,362
9,10,10,13,11,11,11,10,12
105,110,141,158,168,178,187,190,192
142,147,173,188,213,230,230,230,244
62,62,74,80,99,99,105,120,125
181,186,206,232,257,300,315,316,326
257,260,274,308,339,482,474,482,560
334,341,361,462,481,510,534,547,562
302,325,339,419,427,478,490,491,510
993,1019,1045,1176,1324,1703,1796,1777,1948
84,86,99,114,124,139,139,137,144
149,146,158,189,186,195,205,213,212
169,178,196,217,251,249,281,288,301
312,308,299,391,392,449,478,471,513
2418,2493,2855,3248,3218,3348,3544,3608,3723
64,67,73,96,95,104,108,108,107
105,123,132,146,159,175,183,182,197
203,220,228,262,246,266,286,277,288
142,163,175,193,231,248,272,287,283
19,22,17,29,26,25,23,24,26
309,341,378,431,473,461,509,517,531
20,22,23,26,29,30,29,34,35
44,47,45,53,59,59,62,66,65
11,13,12,15,17,17,17,19,19
9,9,10,11,12,16,19,19,20
33,30,39,52,51,54,52,61,59
203,215,223,274,292,293,335,326,334
83,88,84,96,123,148,159,163,177
